phone_number,email,credit_score,age_group,family_background,income,occupation,previous_interaction,comments,intent
(374)509-7734x905,emilyjohnson@brennan-lewis.com,781,18-25,Single,674353,Engineer,Yes,urgent,1
001-854-292-3110,vargasstephanie@yahoo.com,788,18-25,Married,171257,Engineer,Yes,urgent,1
8546416231,qberg@hotmail.com,741,26-35,Married with Kids,462074,Business,Yes,follow up later,1
622.475.8587x0068,tracycook@yahoo.com,379,26-35,Married with Kids,973709,Artist,No,urgent,1
830-409-8140x624,nguyenstacy@boyd-graham.com,605,51+,Single,750809,Business,Yes,urgent,1
001-406-203-6320x7043,zmcgee@yahoo.com,715,26-35,Single,829158,Engineer,No,follow up later,1
571.145.5286x03615,pattondaniel@yahoo.com,849,18-25,Married,487413,Engineer,Yes,,1
001-967-195-8724,robinsonpeter@yahoo.com,695,18-25,Married with Kids,999614,Doctor,Yes,urgent,1
7980008033,jasmine92@cooper.com,755,26-35,Married,274911,Doctor,No,not interested,1
996-681-1325x74828,ryanthompson@gmail.com,604,51+,Married with Kids,939227,Artist,No,follow up later,1
0284054023,tiffanycarter@brandt-edwards.com,706,18-25,Single,724949,Engineer,No,not interested,1
514-516-2409,jonescaroline@wilson.com,779,26-35,Married with Kids,520283,Engineer,Yes,,1
6390643736,david50@hotmail.com,427,18-25,Married,396389,Student,Yes,follow up later,0
316-985-8485,michael19@sutton.com,321,36-50,Married with Kids,350785,Doctor,Yes,urgent,1
(287)989-4357x6317,dmeyers@rodriguez.org,454,36-50,Married,562854,Business,No,,0
190-499-0499,kimberly11@hotmail.com,747,51+,Married with Kids,288579,Student,No,,0
+1-130-128-0423x79718,jeffreywright@gmail.com,684,26-35,Married,632615,Engineer,Yes,urgent,1
+1-620-162-1684,krystalcook@macdonald-brown.net,636,51+,Married with Kids,751884,Doctor,No,please call back,1
(752)812-7334,cjordan@floyd-knapp.org,826,36-50,Married with Kids,825301,Artist,Yes,please call back,1
(317)079-0758x9532,andersonandrew@solis.com,479,26-35,Married with Kids,622962,Business,No,not interested,0
(647)552-5772x9449,joneslouis@gmail.com,733,18-25,Married with Kids,595913,Student,No,follow up later,1
(315)297-9882x3396,laura72@gmail.com,656,18-25,Married,350349,Engineer,No,follow up later,0
+1-866-582-6115x639,kimberlytaylor@gmail.com,332,36-50,Married,359006,Doctor,Yes,,0
001-747-904-2561x5801,christopher23@wilcox-allen.net,811,51+,Single,169547,Artist,Yes,,1
001-686-519-0861x110,annalong@hotmail.com,703,26-35,Married with Kids,599575,Artist,Yes,,1
(440)096-8927,clynch@turner-douglas.com,498,18-25,Married,164432,Artist,Yes,,0
007.714.3186x92954,lewisjackson@yahoo.com,348,26-35,Married,674683,Doctor,No,urgent,1
001-804-793-0381x24677,bassjessica@mcgee.info,783,26-35,Single,999695,Doctor,No,not interested,1
+1-954-856-0261x2823,austin97@martinez-schultz.com,675,26-35,Married,113902,Artist,Yes,please call back,0
659.293.5249,richardswarren@hernandez-francis.com,430,26-35,Married with Kids,248132,Business,Yes,follow up later,0
+1-075-053-8160x327,ncarter@vazquez.com,808,51+,Single,233502,Business,No,not interested,1
+1-567-174-7035x4134,amy84@gmail.com,506,26-35,Married,931742,Doctor,Yes,not interested,1
909.309.1416,nguyenamber@hotmail.com,790,18-25,Married with Kids,844975,Business,No,please call back,1
179.424.2824,jgonzales@campbell.com,510,18-25,Married with Kids,869929,Engineer,Yes,urgent,1
080.486.3778,grant84@hotmail.com,560,26-35,Married with Kids,447259,Business,No,follow up later,0
001-379-748-3734x77027,tonya82@yahoo.com,456,18-25,Married with Kids,508993,Artist,Yes,not interested,0
+1-811-188-4306x88426,andrea23@soto-jackson.com,609,26-35,Married with Kids,474565,Student,Yes,not interested,0
646-506-5690,smendez@gmail.com,399,26-35,Married with Kids,824863,Artist,No,not interested,1
3934926578,keith35@holloway.net,437,36-50,Married,200833,Business,Yes,,0
060.211.2273x52321,parkjennifer@yahoo.com,348,18-25,Single,511786,Student,Yes,please call back,0
(292)706-0035,changemily@gmail.com,715,36-50,Single,940226,Business,No,not interested,1
+1-591-798-3508,timothy84@gmail.com,444,36-50,Married with Kids,146741,Student,No,not interested,0
780-360-3141x7696,sharilee@alvarez-stokes.com,844,18-25,Single,363671,Doctor,Yes,please call back,1
001-403-575-5689,vanessataylor@yahoo.com,398,26-35,Married with Kids,331612,Artist,No,follow up later,1
444.770.2678x43181,randycummings@hotmail.com,604,18-25,Married,554365,Business,Yes,please call back,1
167.245.6461,nathanrich@gmail.com,369,51+,Married,790046,Artist,Yes,urgent,1
185-830-9595,ahill@gmail.com,355,18-25,Married with Kids,279763,Doctor,No,not interested,0
001-965-777-5160x555,william52@hotmail.com,371,26-35,Single,334471,Engineer,Yes,not interested,0
122-132-8683x388,james71@hotmail.com,521,18-25,Married with Kids,253126,Artist,Yes,,1
641-388-7785x342,brandon76@hotmail.com,739,36-50,Married,910728,Student,No,please call back,1
135.885.3470,ysalas@hinton-green.com,727,18-25,Single,589500,Artist,Yes,follow up later,0
(774)149-4147x3488,xlee@hotmail.com,610,26-35,Single,374034,Student,No,not interested,0
001-297-421-9555x402,johnharvey@dunn-holt.biz,530,26-35,Married,311263,Business,Yes,,1
885.485.7530,carrollstephen@oconnor-rodriguez.com,750,18-25,Married with Kids,143747,Engineer,Yes,not interested,0
+1-583-271-5337x028,judith21@evans.org,824,26-35,Married,436239,Business,No,follow up later,1
689.594.6993,campbelllindsey@obrien.com,770,51+,Married,252168,Doctor,Yes,,1
489.527.4418x70410,brownlinda@wilcox-norris.biz,607,51+,Married,251529,Student,Yes,please call back,1
029-649-6736x953,woodmegan@gmail.com,431,18-25,Married with Kids,110959,Doctor,No,please call back,0
209.786.7969,michaeljennings@foster.info,669,51+,Single,416204,Artist,No,please call back,0
159-597-9640,cristinaphillips@hotmail.com,602,36-50,Married with Kids,358043,Engineer,No,,0
903.579.5829x793,cohenkevin@hotmail.com,814,51+,Married with Kids,951544,Artist,Yes,follow up later,1
891-481-2270x266,heatherharris@clayton-kim.com,829,26-35,Single,653401,Student,Yes,urgent,1
+1-697-335-0778x748,edavis@hotmail.com,709,51+,Married,465336,Doctor,No,not interested,0
001-868-599-5333x5452,michaelweaver@cordova-parker.info,698,36-50,Married,548159,Student,No,please call back,0
+1-392-755-4026x547,gamblejeff@hotmail.com,777,18-25,Single,177747,Business,Yes,please call back,1
475.146.6536x458,millerbrandon@yahoo.com,726,26-35,Single,601895,Artist,No,,0
704.588.4498x076,danielmurphy@oliver-robbins.com,800,26-35,Married,734216,Artist,No,urgent,1
719-561-7170,kristine63@lee-perez.com,832,18-25,Married,619124,Business,Yes,please call back,1
647.036.5743x14792,mckenzie42@guerra.biz,572,26-35,Married,187421,Business,No,,0
377-134-8625x47460,chris71@yahoo.com,426,18-25,Married with Kids,955536,Artist,Yes,please call back,1
+1-696-861-8867x488,steven20@yahoo.com,804,18-25,Married,579879,Engineer,Yes,follow up later,1
378-291-3931x305,sean73@gmail.com,641,26-35,Single,214936,Engineer,Yes,,0
(649)558-0895,palmersarah@edwards.com,384,18-25,Married,550308,Doctor,No,please call back,1
+1-255-118-4106x6316,dorothy68@gmail.com,690,36-50,Married with Kids,816029,Doctor,Yes,follow up later,1
001-372-481-2662x781,kpierce@fuentes-charles.com,302,51+,Single,358516,Engineer,Yes,please call back,0
+1-103-021-8137x900,james13@hotmail.com,388,18-25,Married with Kids,599505,Doctor,Yes,not interested,0
001-962-908-4879x007,derrick60@yahoo.com,423,51+,Married,655440,Student,Yes,please call back,0
001-220-457-8524,zruiz@yahoo.com,815,51+,Single,989123,Doctor,No,please call back,1
+1-971-595-8866x34689,brian64@gmail.com,518,18-25,Married,197967,Doctor,Yes,,0
8124417043,olsonjoy@hotmail.com,314,36-50,Married,663231,Artist,No,,0
(580)711-5931,jjames@pearson.biz,399,51+,Married with Kids,216162,Doctor,Yes,please call back,0
(123)449-7902x3896,logan51@gmail.com,389,36-50,Single,604172,Artist,Yes,,1
781.241.6540,robinsonbrandi@barker-carter.com,405,18-25,Single,955343,Engineer,Yes,follow up later,1
485.374.7860,lyonsjennifer@hotmail.com,836,51+,Single,517414,Student,No,please call back,1
+1-167-121-9511,iatkins@yahoo.com,333,36-50,Married,673180,Student,No,follow up later,1
206.185.9867x7343,william77@young.org,411,26-35,Married,272320,Business,No,,0
1088985346,rubenfowler@torres.biz,306,36-50,Married with Kids,841955,Student,Yes,please call back,1
001-497-346-8482x88662,johnskimberly@hotmail.com,492,36-50,Married with Kids,517374,Business,No,follow up later,1
7692217175,fbrown@yahoo.com,835,18-25,Single,880293,Artist,No,,1
587.354.3256x762,jaime07@bond-velez.net,791,18-25,Single,238088,Student,Yes,follow up later,1
558.252.9758,thomaswilcox@yahoo.com,626,36-50,Single,927924,Doctor,Yes,please call back,1
415-727-9735x259,cstewart@larson.com,804,36-50,Married with Kids,594595,Student,No,follow up later,1
352-125-1912,schultzangela@gmail.com,482,26-35,Single,738550,Artist,Yes,not interested,1
421.606.8009,davidgonzalez@hotmail.com,657,36-50,Married,786728,Engineer,No,urgent,1
+1-544-468-5123,fruiz@medina.com,607,51+,Single,991766,Artist,Yes,,1
616.501.0290x619,wnavarro@yahoo.com,668,18-25,Married,407119,Artist,Yes,urgent,1
+1-316-193-4418x43458,marquezalice@king.biz,627,26-35,Married with Kids,845641,Artist,No,urgent,1
132.393.5992x25138,westjack@holmes-smith.com,742,36-50,Married,241643,Business,No,follow up later,1
+1-411-874-5460x8142,iblair@yahoo.com,471,36-50,Single,972145,Engineer,Yes,urgent,1
751-291-1628,rogersrobin@yahoo.com,850,26-35,Married,691218,Doctor,Yes,not interested,1
969.829.8536,jeremiah77@mata-barnett.com,467,18-25,Married with Kids,848583,Business,Yes,follow up later,1
(147)575-0213x569,martinezjulie@miller-yang.net,677,18-25,Married,148048,Artist,No,follow up later,0
+1-374-233-2028x81092,nkane@prince-brooks.com,803,18-25,Married,839138,Student,Yes,not interested,1
137.251.1036,amberjuarez@gmail.com,406,51+,Married with Kids,668552,Engineer,Yes,,0
902.693.6566,ldavies@alexander.com,712,18-25,Single,654354,Artist,Yes,not interested,0
594-250-2921x729,pmurray@hotmail.com,797,51+,Single,847547,Student,No,not interested,1
2783403539,trevorallen@buckley-chan.info,456,51+,Married with Kids,367891,Student,No,urgent,1
074-136-8796,sharonramirez@gmail.com,497,51+,Single,974730,Doctor,Yes,not interested,1
(102)199-2609,erikblake@warner-proctor.com,637,36-50,Married,237919,Student,No,not interested,0
(364)469-7152,rhughes@gmail.com,519,51+,Married with Kids,321007,Engineer,No,please call back,0
799.619.2349x887,brandonwalker@gmail.com,399,51+,Married,681585,Student,No,please call back,1
567-192-3579x380,kellyhuerta@graham.com,698,18-25,Married,854488,Doctor,Yes,urgent,1
001-178-723-8844x4002,ojames@horton.net,490,26-35,Married with Kids,545611,Student,Yes,urgent,1
617-922-4003,jonathonbradley@gmail.com,780,51+,Married,279848,Student,Yes,,1
942-548-8022x87178,freemanstephanie@howard-rogers.info,405,51+,Married,798626,Business,Yes,follow up later,1
543-622-9401x11244,obrienjoshua@hotmail.com,380,26-35,Married,931224,Student,Yes,not interested,1
(683)531-9111x387,moorebrian@gmail.com,801,36-50,Single,282205,Engineer,Yes,urgent,1
603-534-8302x631,bmiller@mccoy.net,577,51+,Married with Kids,750804,Engineer,Yes,not interested,1
072.163.9481x156,richard02@hotmail.com,755,18-25,Married,970484,Business,No,not interested,1
+1-277-877-7126x889,michaelcortez@yahoo.com,835,51+,Single,418014,Artist,Yes,follow up later,1
001-695-670-1327,nbrandt@hotmail.com,382,51+,Married,306868,Doctor,Yes,please call back,1
001-453-729-0036x0250,millerdavid@gmail.com,536,51+,Married,283082,Student,Yes,follow up later,1
795.996.4692x6642,ariel46@gmail.com,359,51+,Married with Kids,969947,Business,No,,1
542-039-0574x4703,christopher63@welch-hughes.org,535,36-50,Married,793013,Doctor,No,urgent,1
+1-431-762-3947x8827,michaelryan@hotmail.com,314,26-35,Married with Kids,148134,Engineer,No,follow up later,0
(687)460-3724,kenneth73@carroll.com,797,36-50,Single,247824,Artist,No,urgent,1
+1-063-537-8564x2460,tonya50@mendoza-bishop.com,301,18-25,Married with Kids,862050,Engineer,No,urgent,1
666.955.6574,christina87@yahoo.com,669,18-25,Married,804556,Business,No,follow up later,1
581-164-1566x9832,collinslisa@quinn.com,668,26-35,Single,766906,Artist,No,not interested,1
550-598-5492x036,monica99@gmail.com,542,51+,Married with Kids,614577,Engineer,Yes,,1
+1-335-265-2857x8118,ericksoncaleb@gmail.com,458,18-25,Married with Kids,483707,Artist,No,not interested,0
628-753-0346,xbrown@butler-walsh.com,376,18-25,Married,710797,Student,Yes,,1
130-964-6821x7959,austinmay@green-miller.info,699,51+,Married,815357,Doctor,No,,1
389.207.6742x283,danny95@whitney.com,651,18-25,Married,506590,Doctor,No,,1
689-103-2924x05706,laurajones@donaldson.info,716,26-35,Married,266573,Student,Yes,urgent,1
6866449229,qhawkins@hotmail.com,819,18-25,Single,291869,Doctor,Yes,follow up later,1
769.155.5629x88462,joseph22@allen.biz,503,36-50,Married with Kids,845292,Engineer,No,not interested,1
721.073.8956x7673,john74@ho.net,689,18-25,Married with Kids,672516,Engineer,No,,1
998-165-8285,matthewburgess@gmail.com,803,51+,Married,968661,Business,Yes,not interested,1
+1-986-733-3817x0751,bradleycarlos@gmail.com,544,26-35,Married with Kids,464558,Student,Yes,not interested,0
+1-287-797-3178x8166,jennifer57@jones.com,665,36-50,Single,919965,Business,No,follow up later,1
962.163.6990x6125,anthonyali@mitchell-barrett.com,515,51+,Single,698370,Student,No,follow up later,0
(119)779-6242x5320,lyonskathy@diaz.com,700,36-50,Single,976974,Engineer,Yes,urgent,1
745-396-1592,hbarnett@gmail.com,711,18-25,Married with Kids,955947,Doctor,Yes,not interested,1
669.559.6050,jeffrey41@hotmail.com,625,36-50,Married with Kids,979275,Artist,Yes,,1
5779296605,gabriela40@andrade.com,584,26-35,Married,123454,Business,No,urgent,1
(821)570-7518x003,donald12@hotmail.com,306,26-35,Single,852877,Student,Yes,follow up later,1
8913361824,virginia11@hotmail.com,848,26-35,Married with Kids,493998,Artist,No,please call back,1
426.727.0159x450,jason63@gmail.com,518,26-35,Single,671009,Artist,No,urgent,1
015.671.0218,swarren@gmail.com,656,51+,Single,208766,Student,Yes,follow up later,1
946.223.2931x39753,markharris@gmail.com,612,36-50,Married,656522,Engineer,No,,1
+1-743-357-8637x2308,tonya57@hodge.net,816,51+,Single,627644,Engineer,Yes,,1
803-327-4979x5617,josephkathryn@hotmail.com,390,36-50,Single,239253,Engineer,Yes,please call back,1
179.566.6430,brandi90@hotmail.com,447,26-35,Married with Kids,467290,Engineer,No,urgent,1
(330)573-1582,billyrodriguez@strickland.com,431,26-35,Single,666354,Business,No,not interested,0
001-762-657-4753x6309,mgray@yahoo.com,477,26-35,Single,572254,Artist,No,not interested,0
(647)310-9812x1360,rcraig@gmail.com,612,18-25,Married with Kids,965640,Engineer,No,urgent,1
(302)101-4897x3561,tinafields@yahoo.com,325,26-35,Married,632102,Artist,No,please call back,0
8381441894,hmyers@chang.org,789,51+,Single,349866,Engineer,Yes,,1
848.635.9006,williamtaylor@hotmail.com,645,36-50,Married,324287,Doctor,Yes,please call back,0
739.449.4479x08459,lbarnes@johnson.com,689,26-35,Married,353841,Student,Yes,not interested,0
901.454.0824x394,adam98@yahoo.com,303,36-50,Single,522649,Student,Yes,,0
054.189.0519x69589,davidcruz@yahoo.com,612,51+,Married,834966,Engineer,Yes,please call back,1
807-830-5535x00355,jessekoch@yahoo.com,538,51+,Married with Kids,712784,Student,Yes,please call back,1
(340)515-7412x31996,johnanderson@yahoo.com,660,26-35,Married,213606,Artist,No,follow up later,1
613-141-1462x6194,wendy63@stark-chavez.org,736,18-25,Single,961828,Business,Yes,not interested,1
571-822-1767,ggarza@burns.org,520,18-25,Single,235090,Student,Yes,urgent,1
+1-440-995-6613,ohernandez@gmail.com,544,26-35,Married with Kids,442345,Engineer,No,not interested,0
440.626.2037,jacquelineterry@hotmail.com,575,26-35,Married with Kids,738725,Student,No,urgent,1
749-191-3576x4426,jordanfernandez@yahoo.com,567,36-50,Single,462387,Engineer,No,not interested,0
(733)566-4350x5607,jennifer35@gmail.com,365,36-50,Married with Kids,143356,Engineer,Yes,,0
365.640.9111,shelby72@dougherty-clark.biz,562,26-35,Married with Kids,802652,Student,No,please call back,1
(509)105-5415x86523,lporter@yahoo.com,723,18-25,Married with Kids,535724,Engineer,No,urgent,1
436.719.5417x21692,wilsontimothy@hotmail.com,536,26-35,Married,645966,Engineer,No,,0
001-694-817-1271x9191,christopher36@yahoo.com,692,36-50,Married with Kids,235439,Doctor,No,follow up later,0
+1-062-677-1579x5091,kristi75@hotmail.com,609,26-35,Married,692528,Student,Yes,not interested,0
001-541-692-8924,hboyer@hotmail.com,752,51+,Married with Kids,465039,Artist,No,,1
(655)994-7704x97135,jonesjacqueline@gmail.com,591,18-25,Married with Kids,756947,Doctor,No,not interested,1
001-337-146-3447x276,cgray@porter.com,771,18-25,Single,596282,Artist,Yes,please call back,1
6386323806,leah63@wheeler-simmons.com,409,26-35,Married with Kids,706424,Student,Yes,follow up later,1
323.945.6156x3922,anitaguzman@garcia-cook.com,819,18-25,Married with Kids,319340,Doctor,No,please call back,1
963.811.8946x8914,jennifer66@gill.biz,442,51+,Married,394347,Doctor,Yes,please call back,0
001-583-155-2818x5474,lmalone@roach-parker.com,402,36-50,Single,719361,Doctor,Yes,follow up later,1
520.380.0454x768,bakernicole@fletcher-ray.biz,707,26-35,Single,487673,Artist,No,not interested,0
+1-625-922-3293,haneysusan@hotmail.com,521,18-25,Married with Kids,192990,Artist,No,urgent,1
(508)221-2684x13493,reedjustin@yahoo.com,790,51+,Single,790030,Engineer,No,follow up later,1
269.754.8191,collinsveronica@hotmail.com,597,51+,Single,291806,Doctor,Yes,please call back,1
001-430-704-6955x6548,onealemily@west-myers.net,549,26-35,Married with Kids,114260,Student,Yes,follow up later,0
(026)151-4499,robertzuniga@gmail.com,306,26-35,Single,414418,Doctor,No,follow up later,0
6105978367,lewiskenneth@kennedy.net,379,18-25,Married with Kids,283208,Doctor,Yes,,0
(002)797-4587,sphillips@martinez-cantrell.com,762,36-50,Married,553569,Artist,Yes,urgent,1
140.260.8342x0427,jessica33@yahoo.com,741,51+,Married,501902,Artist,Yes,please call back,1
854.440.1621,whitedavid@stone.com,723,51+,Married,753002,Business,Yes,,1
(685)349-9502x86430,hallcandace@yahoo.com,368,36-50,Married,660097,Engineer,No,please call back,1
401.576.3933x569,shortjessica@hotmail.com,340,26-35,Married,559282,Engineer,No,not interested,0
001-224-189-8712x087,xbrown@yahoo.com,710,51+,Married with Kids,794309,Artist,No,not interested,1
001-333-614-1978x2206,mathistracey@hotmail.com,481,18-25,Married,205294,Artist,Yes,follow up later,1
+1-758-323-8796x0372,patricialopez@yahoo.com,421,51+,Married with Kids,328786,Doctor,Yes,not interested,0
128-091-7280x09947,barnettjohn@hotmail.com,566,51+,Single,486292,Business,Yes,,1
001-728-434-9670x564,collinsjonathan@hotmail.com,783,51+,Married with Kids,786719,Artist,Yes,please call back,1
6103193051,pollardrhonda@frey-williams.com,744,26-35,Married,451259,Engineer,No,not interested,0
475.259.9134x00620,kaitlynavery@hotmail.com,343,51+,Married,669367,Engineer,Yes,please call back,1
8959213152,gdavis@gmail.com,816,26-35,Single,928568,Engineer,Yes,urgent,1
938-029-9504x026,christopher44@wallace.com,445,51+,Married,350987,Business,No,follow up later,1
(371)039-7743,carriemurphy@smith-watts.com,785,18-25,Single,519685,Business,Yes,urgent,1
076-416-6779x04976,waltonthomas@hotmail.com,475,51+,Married,684598,Student,Yes,not interested,0
001-078-142-5765x06444,brittany36@henson.com,503,36-50,Married with Kids,749506,Business,Yes,,1
001-376-255-6134x2460,nicholeacevedo@hotmail.com,465,51+,Single,349421,Doctor,Yes,,1
(214)407-5711,pmontgomery@yahoo.com,464,26-35,Married with Kids,949866,Engineer,No,not interested,1
7630339800,joe76@yahoo.com,842,18-25,Single,878592,Doctor,Yes,,1
001-737-360-2513x88600,samueljohnson@hotmail.com,386,51+,Married with Kids,939276,Engineer,No,follow up later,1
001-905-584-6091x8777,qward@mcdowell.com,634,26-35,Married with Kids,534203,Business,No,urgent,1
216.449.6758,conneramy@yahoo.com,738,51+,Married,614341,Artist,No,not interested,0
001-095-077-2257,gomezdavid@gmail.com,716,18-25,Married with Kids,228424,Business,Yes,please call back,0
(820)019-1685x25224,khall@hotmail.com,484,26-35,Married,546530,Artist,Yes,,1
+1-472-040-7338x10031,hjones@hotmail.com,826,18-25,Married with Kids,158352,Student,No,not interested,1
257-048-1875,paul59@smith.com,787,36-50,Married,381891,Student,No,urgent,1
032-393-4161,miranda59@taylor.com,314,26-35,Single,612447,Engineer,Yes,please call back,1
+1-919-500-6423x2807,ashleyhaynes@booker.org,395,51+,Single,886497,Student,No,follow up later,1
571.345.0615,doughertyjose@hotmail.com,454,36-50,Married,480327,Artist,Yes,,1
078.847.7406x0469,tmiller@gmail.com,840,36-50,Married with Kids,742477,Student,No,not interested,1
280-539-4356,maria85@townsend.com,618,18-25,Married with Kids,174101,Engineer,No,follow up later,0
001-519-389-7298x94164,rhondahutchinson@valenzuela.net,557,26-35,Single,115360,Engineer,No,,0
001-442-763-7180x0494,chavezmaria@gmail.com,672,26-35,Married with Kids,773693,Student,Yes,please call back,1
770-853-3868x82587,daniel51@matthews-estrada.com,699,51+,Married,596576,Business,No,follow up later,1
926-708-2752x3986,michealwillis@hotmail.com,742,26-35,Married,619881,Artist,No,urgent,1
412-603-6036,dparker@gmail.com,740,26-35,Married with Kids,724758,Artist,No,urgent,1
788-312-2140,jasondavis@gmail.com,778,36-50,Married with Kids,420373,Student,Yes,please call back,1
(875)796-0672x02417,murphymelanie@gmail.com,742,51+,Single,903711,Student,No,,1
301.464.7982x1991,robert76@yahoo.com,508,36-50,Married with Kids,620280,Artist,No,please call back,1
+1-404-168-5495,timothyberger@gmail.com,718,26-35,Married,374621,Engineer,Yes,urgent,1
1770873794,eric49@gmail.com,720,36-50,Married,667031,Engineer,No,please call back,1
309-163-4353x5314,dwilliams@shelton.org,376,51+,Married,150248,Engineer,No,please call back,0
685-592-1289,joliver@yahoo.com,416,18-25,Married with Kids,313030,Student,No,please call back,1
+1-215-485-4498,riveramichael@long.net,711,26-35,Single,398032,Artist,No,follow up later,0
969-446-1468,hawkinsjessica@chandler.org,380,36-50,Single,689722,Engineer,Yes,follow up later,1
001-652-913-8350x10315,harrisashley@yahoo.com,302,26-35,Married,554210,Engineer,Yes,,1
860-174-9823x717,antoniohughes@garcia.com,582,36-50,Married with Kids,366201,Engineer,No,not interested,0
+1-188-258-9139x527,hestershawn@yahoo.com,502,18-25,Single,934212,Engineer,Yes,,1
0286387548,kennethjohnson@gmail.com,598,26-35,Single,378209,Student,Yes,please call back,0
355.714.4821x7796,howelllawrence@moore.org,751,18-25,Single,376233,Student,No,please call back,1
(704)424-1835,fwilson@hudson.com,495,18-25,Married,280545,Doctor,No,,1
909.085.9450,laura06@yahoo.com,571,26-35,Married,879567,Doctor,No,not interested,1
533-734-2060x0337,rodriguezelizabeth@hotmail.com,714,18-25,Married,321336,Business,No,not interested,0
001-647-910-8222x47579,allisoneric@gmail.com,377,51+,Single,193857,Business,No,not interested,0
(925)227-3908x2804,stevengarza@gmail.com,376,26-35,Single,302687,Doctor,No,please call back,1
169.909.1438x20390,jonesshannon@gmail.com,554,51+,Married,409871,Artist,Yes,follow up later,1
001-000-720-7997x6918,jesusmartinez@yahoo.com,510,18-25,Married with Kids,931995,Doctor,Yes,not interested,1
295.621.3655x24891,erivers@gmail.com,523,51+,Married,969954,Doctor,No,not interested,1
(533)816-2690,crobinson@yahoo.com,369,18-25,Married,739499,Business,No,not interested,1
(224)645-6382x674,robinbarrett@gmail.com,702,36-50,Married with Kids,865202,Student,No,follow up later,1
